Product_Name,Brand,Rating,Monthly_Sales,Price_SAR,Old_Price_SAR,Offer,Shipping,Competition_Count,Category_Main,Category_Sub,Market_Competition,Brand_Class,Is_Rated,Has_Sales,Discount,Weight_Est,Shipping_Cost,Referral_Fee_Rate,Referral_Fee_Value,Price_After_Discount,Price_Drop,Final_Cost,Net_Revenue,Is_Profitable,Competition_Level,Market_Competition_Level,Supplier_Count,Avg_Supplier_Score,Avg_Entry_Cost,Avg_Price_Range,Supply_Index,Cost_Index,Category_Level,Attractiveness,Demand_Index
Classic Facial Pocket Tissues,fine,4.4,700.0,27.95,86.95,20% off promotion available,FREE delivery,0,Supermarket,Pocket Tissues,40000,generic,1,1,0.2,1.0,20.5,10.0,2.795,22.36,59.0,42.86,19.564999999999998,1,no competition,high,0.29,0.5301931365184034,0.29341164486823673,0.0,0.6950537611468903,0.7065883551317633,Attractive,0.5592442733024601,0.3468790960471601
Facial Tissues 200 Sheets Marah,marah,4.0,,37.3,37.3,20% off promotion available,FREE delivery,0,Supermarket,Facial Tissues,40000,generic,1,0,0.2,1.0,20.5,10.0,3.73,29.84,0.0,50.34,26.11,1,no competition,high,0.29,0.5301931365184034,0.29341164486823673,0.0,0.6950537611468903,0.7065883551317633,Attractive,0.5592442733024601,0.3468790960471601
Original Facial Tissue 8+2,kleenex,4.7,900.0,20.95,28.5,20% off promotion available,FREE delivery,0,Supermarket,Facial Tissues,40000,generic,1,1,0.2,1.0,20.5,10.0,2.095,16.76,7.550000000000001,37.260000000000005,14.665000000000001,1,no competition,high,0.29,0.5301931365184034,0.29341164486823673,0.0,0.6950537611468903,0.7065883551317633,Attractive,0.5592442733024601,0.3468790960471601
Silk Soft Facial Tissue Pack,kleenex,4.6,200.0,94.3,162.95,Limited time deal,FREE delivery,0,Supermarket,Facial Tissues,40000,generic,1,1,0.0,1.0,20.5,10.0,9.43,94.3,68.64999999999999,114.8,84.87,1,no competition,high,0.29,0.5301931365184034,0.29341164486823673,0.0,0.6950537611468903,0.7065883551317633,Attractive,0.5592442733024601,0.3468790960471601
Classic Sterilized Tissue Box,fine,4.6,300.0,21.95,34.0,20% off promotion available,FREE delivery,5,Supermarket,Facial Tissues,40000,generic,1,1,0.2,1.0,20.5,10.0,2.195,17.56,12.05,38.06,15.364999999999998,1,medium,high,0.29,0.5301931365184034,0.29341164486823673,0.0,0.6950537611468903,0.7065883551317633,Attractive,0.5592442733024601,0.3468790960471601
Soft Facial Tissue 6x50,kleenex,4.6,500.0,16.95,26.95,Limited time deal,FREE delivery,0,Supermarket,Facial Tissues,40000,generic,1,1,0.0,1.0,20.5,10.0,1.695,16.95,10.0,37.45,15.254999999999999,1,no competition,high,0.29,0.5301931365184034,0.29341164486823673,0.0,0.6950537611468903,0.7065883551317633,Attractive,0.5592442733024601,0.3468790960471601
Wall Hanging Facial Tissue,cloud,,,43.0,43.0,20% off promotion available,FREE delivery,0,Supermarket,Hanging Tissues,40000,generic,0,0,0.2,1.0,20.5,10.0,4.3,34.4,0.0,54.9,30.099999999999998,1,no competition,high,0.29,0.5301931365184034,0.29341164486823673,0.0,0.6950537611468903,0.7065883551317633,Attractive,0.5592442733024601,0.3468790960471601
Smile Facial Tissues 150 Sheets,fine,4.4,1000.0,13.95,25.0,20% off promotion available,FREE delivery,0,Supermarket,Facial Tissues,40000,generic,1,1,0.2,1.0,20.5,10.0,1.395,11.16,11.05,31.66,9.765,1,no competition,high,0.29,0.5301931365184034,0.29341164486823673,0.0,0.6950537611468903,0.7065883551317633,Attractive,0.5592442733024601,0.3468790960471601
Ultra Strong Soft Pack 10,kleenex,4.6,3000.0,15.7,28.95,Limited time deal,FREE delivery,0,Supermarket,Facial Tissues,40000,generic,1,1,0.0,1.0,20.5,10.0,1.57,15.7,13.25,36.2,14.129999999999999,1,no competition,high,0.29,0.5301931365184034,0.29341164486823673,0.0,0.6950537611468903,0.7065883551317633,Attractive,0.5592442733024601,0.3468790960471601
Kitchen Super Towel 12 Rolls,fine,4.6,3000.0,15.95,30.0,20% off promotion available,FREE delivery,0,Supermarket,Kitchen Towel,40000,generic,1,1,0.2,1.0,20.5,10.0,1.595,12.76,14.05,33.26,11.165,1,no competition,high,0.29,0.5301931365184034,0.29341164486823673,0.0,0.6950537611468903,0.7065883551317633,Attractive,0.5592442733024601,0.3468790960471601
